weatherstation_id,fmis_id,weatherstation_name
57d7246d-b747-ec11-8c62-6045bd8ee4f4,101983,Muonio Sammaltunturi
ced6d26e-b747-ec11-8c62-6045bd8ba7a7,101418,Juva Partala
4ad7246d-b747-ec11-8c62-6045bd8ee4f4,101756,Sotkamo Kuolaniemi
02d7d26e-b747-ec11-8c62-6045bd8ba7a7,103098,Tampere Linja-autoasema
e2d6246d-b747-ec11-8c62-6045bd8ee4f4,101448,Savonlinna Savonranta
ffd6d26e-b747-ec11-8c62-6045bd8ba7a7,104108,Pieksämäki Savontie
63d6d26e-b747-ec11-8c62-6045bd8ba7a7,101589,Heinävesi Palokki
00d7d26e-b747-ec11-8c62-6045bd8ba7a7,101851,Tornio Torppi
99d6d26e-b747-ec11-8c62-6045bd8ba7a7,101468,Närpiö Alamarkku
06d7246d-b747-ec11-8c62-6045bd8ee4f4,101636,Lieksa Lampela
91d6d26e-b747-ec11-8c62-6045bd8ba7a7,101725,Kajaani lentoasema
9dd6d26e-b747-ec11-8c62-6045bd8ba7a7,101887,Kuusamo Kiutaköngäs
d0211d73-b747-ec11-8c62-6045bd8ee4f4,107268,Siilinjärvi Sulkavanniitty
75d6d26e-b747-ec11-8c62-6045bd8ba7a7,134224,Rauma Petäjäs
5bd7246d-b747-ec11-8c62-6045bd8ee4f4,101706,Pyhäjärvi Hiidenniemi
ccd6d26e-b747-ec11-8c62-6045bd8ba7a7,103139,Porvoo Mustijoki
09d7246d-b747-ec11-8c62-6045bd8ee4f4,101956,Salla Kelloselkä
7ed6d26e-b747-ec11-8c62-6045bd8ba7a7,101423,Savonlinna Laukansaari
e1d6d26e-b747-ec11-8c62-6045bd8ba7a7,100662,Helsinki Kallio 2
61d6d26e-b747-ec11-8c62-6045bd8ba7a7,132310,Helsinki Kaivopuisto
05d7d26e-b747-ec11-8c62-6045bd8ba7a7,101990,Kittilä kirkonkylä
88211d73-b747-ec11-8c62-6045bd8ee4f4,101421,Varkaus Kosulanniemi
85211d73-b747-ec11-8c62-6045bd8ee4f4,101004,Helsinki Kumpula
1ed7d26e-b747-ec11-8c62-6045bd8ba7a7,852678,Espoo Nuuksio
69d7246d-b747-ec11-8c62-6045bd8ee4f4,101794,Oulu Vihreäsaari satama
f8d6246d-b747-ec11-8c62-6045bd8ee4f4,101503,Kauhava lentokenttä
bbd6d26e-b747-ec11-8c62-6045bd8ba7a7,103121,Imatra Rautionkylä
35abd474-b747-ec11-8c62-6045bd8ba7a7,107033,Maalahti Storskäret
e4d6246d-b747-ec11-8c62-6045bd8ee4f4,101555,Vesanto kirkonkylä
a4d6d26e-b747-ec11-8c62-6045bd8ba7a7,101882,Taivalkoski Inkee
f2d6d26e-b747-ec11-8c62-6045bd8ba7a7,101003,Helsinki Helsingin majakka
c8d6d26e-b747-ec11-8c62-6045bd8ba7a7,101927,Rovaniemi Vennivaara
af211d73-b747-ec11-8c62-6045bd8ee4f4,100761,Kotka Kuusenkari
23d7d26e-b747-ec11-8c62-6045bd8ba7a7,104098,Kuopio Niirala
5fd6d26e-b747-ec11-8c62-6045bd8ba7a7,101464,Mustasaari Valassaaret
96d6d26e-b747-ec11-8c62-6045bd8ba7a7,101116,Nokia Tottijärvi
74d7246d-b747-ec11-8c62-6045bd8ee4f4,103118,Imatra Mansikkala
26d7246d-b747-ec11-8c62-6045bd8ee4f4,101081,Oripää Teinikivi
5bd6d26e-b747-ec11-8c62-6045bd8ba7a7,101673,Kalajoki Ulkokalla
c0211d73-b747-ec11-8c62-6045bd8ee4f4,106797,Turku Kauppatori väliaikainen
a1211d73-b747-ec11-8c62-6045bd8ee4f4,103135,Pori Pastuskeri
7f211d73-b747-ec11-8c62-6045bd8ee4f4,103148,Joensuu Koskikatu 1
2dd7246d-b747-ec11-8c62-6045bd8ee4f4,101641,Ilomantsi Naarva
b2211d73-b747-ec11-8c62-6045bd8ee4f4,103807,Oulu Santapankki
cc211d73-b747-ec11-8c62-6045bd8ee4f4,107166,Hyvinkää Kruununpuisto
f0d6d26e-b747-ec11-8c62-6045bd8ba7a7,100949,Turku Artukainen
fcd6d26e-b747-ec11-8c62-6045bd8ba7a7,104105,Helsinki Töölöntulli
d7d6d26e-b747-ec11-8c62-6045bd8ba7a7,101267,Pori Tahkoluoto satama
17d7d26e-b747-ec11-8c62-6045bd8ba7a7,654910,Espoo Kytö
9c211d73-b747-ec11-8c62-6045bd8ee4f4,103133,Lahti Satulakatu
13d7246d-b747-ec11-8c62-6045bd8ee4f4,100909,Lemland Nyhamn
b7d6d26e-b747-ec11-8c62-6045bd8ba7a7,101569,Pielavesi Venetmäki
11d7246d-b747-ec11-8c62-6045bd8ee4f4,101533,Alajärvi Möksy
bad6d26e-b747-ec11-8c62-6045bd8ba7a7,101650,Lieksa Hietajärvi
b0d6d26e-b747-ec11-8c62-6045bd8ba7a7,101753,Ristijärvi Mustavaara
76d7246d-b747-ec11-8c62-6045bd8ee4f4,100845,Turku Ruissalo Saarontie
ddd6d26e-b747-ec11-8c62-6045bd8ba7a7,101481,Maalahti Strömmingsbådan
0cd7d26e-b747-ec11-8c62-6045bd8ba7a7,126737,Utsjoki Kevo Kevojärvi
edd6d26e-b747-ec11-8c62-6045bd8ba7a7,101885,Taivalkoski kirkonkylä
11d7d26e-b747-ec11-8c62-6045bd8ba7a7,100656,Virolahti Koivuniemi Ääpälä
d4211d73-b747-ec11-8c62-6045bd8ee4f4,107285,Kotka Ruukinkatu
37abd474-b747-ec11-8c62-6045bd8ba7a7,107131,Nurmes Mujejärvi Riihivaara
f3d6d26e-b747-ec11-8c62-6045bd8ba7a7,102046,Inari kirkonkylä
4fd7246d-b747-ec11-8c62-6045bd8ee4f4,101785,Raahe Lapaluoto satama
bed6d26e-b747-ec11-8c62-6045bd8ba7a7,101899,Kuusamo Juuma
